EFFECT,COUNTRY,SITEID,ADJP_AE,METHOD_AE,ESTIMATE_AE,AVGCNT_AE,N_AE,DIFF_AE,FOLDCHANGE_AE,FLAG_AE,ADJP_SAE,METHOD_SAE,ESTIMATE_SAE,AVGCNT_SAE,N_SAE,DIFF_SAE,FOLDCHANGE_SAE,FLAG_SAE,ADJP_TOXG1,METHOD_TOXG1,ESTIMATE_TOXG1,AVGCNT_TOXG1,N_TOXG1,DIFF_TOXG1,FOLDCHANGE_TOXG1,FLAG_TOXG1,ADJP_TOXG2,METHOD_TOXG2,ESTIMATE_TOXG2,AVGCNT_TOXG2,N_TOXG2,DIFF_TOXG2,FOLDCHANGE_TOXG2,FLAG_TOXG2,ADJP_TOXG3,METHOD_TOXG3,ESTIMATE_TOXG3,AVGCNT_TOXG3,N_TOXG3,DIFF_TOXG3,FOLDCHANGE_TOXG3,FLAG_TOXG3,ADJP_AE_EXCL_J,METHOD_AE_EXCL_J,ESTIMATE_AE_EXCL_J,AVGCNT_AE_EXCL_J,N_AE_EXCL_J,DIFF_AE_EXCL_J,FOLDCHANGE_AE_EXCL_J,FLAG_AE_EXCL_J,ADJP_TOXG1_EXCL_J,METHOD_TOXG1_EXCL_J,ESTIMATE_TOXG1_EXCL_J,AVGCNT_TOXG1_EXCL_J,N_TOXG1_EXCL_J,DIFF_TOXG1_EXCL_J,FOLDCHANGE_TOXG1_EXCL_J,FLAG_TOXG1_EXCL_J,ADJP_TOXG2_EXCL_J,METHOD_TOXG2_EXCL_J,ESTIMATE_TOXG2_EXCL_J,AVGCNT_TOXG2_EXCL_J,N_TOXG2_EXCL_J,DIFF_TOXG2_EXCL_J,FOLDCHANGE_TOXG2_EXCL_J,FLAG_TOXG2_EXCL_J
COUNTRY,AUS,,0.020226671,Negative Binomial,0.9508776847,41.8,1,12.98333,1.4505492828,1,0.5764364752,ANOVA,0.1977027194,0.4,1,0.17037,1.7419326743,0,0.0071844053,Negative Binomial,1.3437488953,39.4,1,15.57593,1.6537896338,1,0.2126197642,ANOVA,-0.794551833,1.8,1,-2.977778,-2.654321111,0,0.141305329,ANOVA,0.3261768322,0.4,1,0.244444,2.5714212245,0,0.8053056787,Negative Binomial,0.1997840998,17.8,1,-0.74074,-1.041614607,0,0.098318009,Negative Binomial,0.6065547383,15.6,1,2.02963,1.1495633502,0,0.1761610032,ANOVA,-0.82690847,1.6,1,-3.155556,-2.9722225,0
SITEID(COUNTRY),AUS,0029,0.0738608082,Negative Binomial,0.8759099639,41.8,5,12.98333,1.4505492828,0,0.8384770129,ANOVA,0.2089316397,0.4,5,0.17037,1.7419326743,0,0.0270742931,Negative Binomial,1.2526848498,39.4,5,15.57593,1.6537896338,1,0.388347413,ANOVA,-0.824621311,1.8,5,-2.977778,-2.654321111,0,0.2671471161,ANOVA,0.3371056941,0.4,5,0.244444,2.5714212245,0,0.9963342973,Negative Binomial,0.1546777735,17.8,5,-0.74074,-1.041614607,0,0.302859825,Negative Binomial,0.5526854761,15.6,5,2.02963,1.1495633502,0,0.3271044714,ANOVA,-0.857331572,1.6,5,-3.155556,-2.9722225,0
COUNTRY,FRA,,0.1186408275,Negative Binomial,1.1251630084,49,1,20.18333,1.7004046616,0,0.8566582654,ANOVA,-0.202297281,0,1,-0.22963,-100,0,0.0874988445,Negative Binomial,1.4694184748,47.5,1,23.67593,1.9937819189,0,0.5665107003,ANOVA,-0.857676692,1.5,1,-3.277778,-3.185185333,0,0.9884611492,ANOVA,-0.07357229,0,1,-0.155556,-100,0,0.0149562379,Negative Binomial,1.2124059405,49,1,30.45926,2.6428287113,1,0.0013467869,Negative Binomial,1.7200135351,47.5,1,33.92963,3.5002730213,1,0.5612293224,ANOVA,-0.850781015,1.5,1,-3.255556,-3.170370667,0
SITEID(COUNTRY),FRA,0111,0.3190707574,Negative Binomial,1.0501952876,49,2,20.18333,1.7004046616,0,0.9941063347,ANOVA,-0.19106836,0,2,-0.22963,-100,0,0.2418884215,Negative Binomial,1.3783544293,47.5,2,23.67593,1.9937819189,0,0.8414759239,ANOVA,-0.887746169,1.5,2,-3.277778,-3.185185333,0,0.999996556,ANOVA,-0.062643428,0,2,-0.155556,-100,0,0.0447715897,Negative Binomial,1.1672996142,49,2,30.45926,2.6428287113,1,0.0042017298,Negative Binomial,1.6661442729,47.5,2,33.92963,3.5002730213,1,0.8364402423,ANOVA,-0.881204117,1.5,2,-3.255556,-3.170370667,0
COUNTRY,GBR,,0.9821937446,Negative Binomial,0.1416989951,20.666666667,1,-8.150003333,-1.394355,0,0.0143345135,ANOVA,0.7083863219,1.3333333333,1,1.1037033333,5.8064422477,0,0.7809951636,Negative Binomial,0.4445997049,17,1,-6.82407,-1.401415882,0,0.9463609436,Negative Binomial,-0.234748926,2.6666666667,1,-2.111111333,-1.79166675,0,0.2844543315,Negative Binomial,2.7077021182,0.6666666667,1,0.5111106667,4.2857020409,0,0.6446802,Negative Binomial,0.3491077339,20.666666667,1,2.1259266667,1.1146624496,0,0.1761511345,Negative Binomial,0.6924971681,17,1,3.42963,1.2527292918,0,0.954631242,Negative Binomial,-0.214057311,2.6666666667,1,-2.088889333,-1.7833335,0
SITEID(COUNTRY),GBR,1287,0.9999998882,Negative Binomial,0.0667312744,20.666666667,3,-8.150003333,-1.394355,0,0.0299749276,ANOVA,0.7196152423,1.3333333333,3,1.1037033333,5.8064422477,0,0.9936973925,Negative Binomial,0.3535356594,17,3,-6.82407,-1.401415882,0,0.9991080242,Negative Binomial,-0.24533244,2.6666666667,3,-2.111111333,-1.79166675,0,0.5104141936,Negative Binomial,2.7926911527,0.6666666667,3,0.5111106667,4.2857020409,0,0.958697887,Negative Binomial,0.3040014076,20.666666667,3,2.1259266667,1.1146624496,0,0.4538048866,Negative Binomial,0.6386279059,17,3,3.42963,1.2527292918,0,0.9993846121,Negative Binomial,-0.225701934,2.6666666667,3,-2.088889333,-1.7833335,0
COUNTRY,USA,,0.0053675811,Negative Binomial,-0.395045535,24.647222222,6,-4.169447778,-1.169165017,0,0.0512898992,ANOVA,-0.146741725,0.0555555556,6,-0.174074444,-4.13334,0,0.0010815705,Negative Binomial,-0.585203768,18.419444444,6,-5.404625556,-1.293419575,-1,0.0795575874,Negative Binomial,0.2959358181,6.1722222222,6,1.3944442222,1.291860405,0,0.0694518747,ANOVA,-0.128961358,0.0555555556,6,-0.100000444,-2.800008,0,0.0257228163,Negative Binomial,-0.242182177,13.233333333,6,-5.307406667,-1.401063476,0,0.0002159484,Negative Binomial,-0.463140831,7.0055555556,6,-6.564814444,-1.937086915,-1,0.0518055771,Negative Binomial,0.3166274324,6.1722222222,6,1.4166662222,1.297897075,0
SITEID(COUNTRY),USA,0003,0.2796789633,Negative Binomial,0.8034098612,47.25,4,18.43333,1.6396759237,0,0.9429731931,ANOVA,-0.19106836,0,4,-0.22963,-100,0,0.9320472879,Negative Binomial,0.5317769622,28.75,4,4.92593,1.2067627404,0,0.0001874772,Negative Binomial,1.6916090398,18.5,4,13.722222,3.8720928432,1,0.9349360151,ANOVA,-0.175947585,0,4,-0.155556,-100,0,0.4113170945,Negative Binomial,0.5141577695,25.5,4,6.95926,1.3753496355,0,0.973311473,ANOVA,-0.628224501,7,4,-6.57037,-1.938624286,0,0.0000837299,Negative Binomial,1.7112395453,18.5,4,13.744444,3.8901865523,1
SITEID(COUNTRY),USA,0005,0.0600715632,Negative Binomial,-1.388976699,4.3333333333,3,-24.48333667,-6.650000769,0,0.9768428017,ANOVA,-0.19106836,0,3,-0.22963,-100,0,0.0418654121,Negative Binomial,-1.982207848,1.6666666667,3,-22.15740333,-14.294442,-1,0.9905710996,ANOVA,-0.42043824,2.6666666667,3,-2.111111333,-1.79166675,0,0.999969546,ANOVA,-0.066994751,0,3,-0.155556,-100,0,0.0304799051,Negative Binomial,-1.258183675,4.3333333333,3,-14.20740667,-4.278632308,-1,0.0287112865,Negative Binomial,-1.683759814,1.6666666667,3,-11.90370333,-8.142222,-1,0.9906208139,ANOVA,-0.413896188,2.6666666667,3,-2.088889333,-1.7833335,0
SITEID(COUNTRY),USA,0018,0.2574851655,Negative Binomial,-1.004756211,8.3333333333,3,-20.48333667,-3.4580004,0,0.9768428017,ANOVA,-0.19106836,0,3,-0.22963,-100,0,0.0744687603,Negative Binomial,-1.786888501,2.3333333333,3,-21.49073667,-10.21031571,0,0.7572914973,Negative Binomial,0.5655977767,6,3,1.222222,1.2558138951,0,0.9104811443,ANOVA,-0.22467323,0,3,-0.155556,-100,0,0.5289593504,Negative Binomial,-0.604257174,8.3333333333,3,-10.20740667,-2.2248888,0,0.0680471606,Negative Binomial,-1.347287578,2.3333333333,3,-11.23703667,-5.815872857,0,0.6833911979,Negative Binomial,0.5852282825,6,3,1.244444,1.2616821251,0
